t	ekg	optical	pressure	accel_x	accel_y	accel_z
0	13.952	-17794	3300.1	-0.31622	0.93501	0.11029
0.002	13.959	-17805	3302.7	-0.30666	0.9312	0.10228
0.004	13.958	-17817	3305.3	-0.29709	0.9274	0.094282
0.006	13.956	-17814	3307.5	-0.28753	0.92359	0.086278
0.008	13.948	-17811	3309.2	-0.27796	0.91978	0.078275
0.01	13.936	-17804	3310.9	-0.2684	0.91598	0.070272
0.012	13.939	-17798	3313.6	-0.27426	0.91773	0.078666
0.014	13.965	-17804	3316.3	-0.28011	0.91949	0.087059
0.016	13.964	-17811	3319.1	-0.28597	0.92125	0.095453
0.018	13.969	-17810	3322.1	-0.29182	0.923	0.10385
0.02	13.969	-17810	3325.1	-0.29768	0.92476	0.11224
0.022	13.971	-17808	3328.1	-0.29729	0.92632	0.10892
0.024	13.974	-17807	3331	-0.2969	0.92788	0.1056
0.026	13.969	-17808	3333.9	-0.29651	0.92944	0.10228
0.028	13.967	-17808	3336.8	-0.29612	0.93101	0.098966
0.03	13.967	-17808	3339.7	-0.29573	0.93257	0.095648
0.032	13.962	-17808	3342.6	-0.29495	0.93315	0.095355
0.034	13.958	-17808	3345.6	-0.29417	0.93374	0.095062
0.036	13.957	-17809	3348.6	-0.29339	0.93432	0.09477
0.038	13.946	-17805	3351.6	-0.2926	0.93491	0.094477
0.04	13.93	-17800	3354.7	-0.29182	0.9355	0.094184
0.042	13.917	-17801	3357.4	-0.29407	0.93872	0.093989
0.044	13.903	-17802	3360.2	-0.29631	0.94194	0.093794
0.046	13.899	-17804	3362.8	-0.29856	0.94516	0.093598
0.048	13.9	-17805	3365.4	-0.3008	0.94838	0.093403
0.05	13.899	-17802	3367.9	-0.30305	0.9516	0.093208
0.052	13.888	-17799	3370.3	-0.3008	0.9517	0.093794
0.054	13.871	-17803	3372.8	-0.29856	0.9518	0.094379
0.056	13.858	-17807	3375	-0.29631	0.95189	0.094965
0.058	13.853	-17811	3377.1	-0.29407	0.95199	0.09555
0.06	13.845	-17815	3379.1	-0.29182	0.95209	0.096136
0.062	13.835	-17805	3380.8	-0.2927	0.95345	0.096624
0.064	13.833	-17796	3382.5	-0.29358	0.95482	0.097112
0.066	13.831	-17792	3384	-0.29446	0.95619	0.0976
0.068	13.821	-17787	3385.3	-0.29534	0.95755	0.098088
0.07	13.813	-17793	3386.6	-0.29622	0.95892	0.098576
0.072	13.81	-17799	3387.4	-0.29612	0.9599	0.098186
0.074	13.799	-17796	3388.2	-0.29602	0.96087	0.097795
0.076	13.778	-17792	3388.8	-0.29592	0.96185	0.097405
0.078	13.766	-17788	3389.3	-0.29583	0.96282	0.097014
0.08	13.763	-17785	3389.7	-0.29573	0.9638	0.096624
0.082	13.77	-17789	3389.8	-0.29963	0.96722	0.099064
0.084	13.779	-17794	3390	-0.30354	0.97063	0.1015
0.086	13.778	-17795	3390.1	-0.30744	0.97405	0.10394
0.088	13.779	-17797	3390.3	-0.31134	0.97746	0.10638
0.09	13.782	-17795	3390.5	-0.31525	0.98088	0.10882
0.092	13.774	-17793	3390.2	-0.3131	0.97824	0.10629
0.094	13.777	-17798	3390	-0.31095	0.97561	0.10375
0.096	13.79	-17803	3389.5	-0.30881	0.97297	0.10121
0.098	13.799	-17802	3388.6	-0.30666	0.97034	0.098674
0.1	13.813	-17800	3387.8	-0.30451	0.9677	0.096136
0.102	13.814	-17800	3387	-0.30393	0.96848	0.096722
0.104	13.806	-17800	3386.1	-0.30334	0.96927	0.097307
0.106	13.806	-17800	3385.2	-0.30276	0.97005	0.097893
0.108	13.818	-17800	3384	-0.30217	0.97083	0.098478
0.11	13.811	-17800	3382.9	-0.30158	0.97161	0.099064
0.112	13.797	-17801	3381.8	-0.30402	0.97014	0.096331
0.114	13.814	-17804	3380.7	-0.30646	0.96868	0.093598
0.116	13.824	-17808	3379.6	-0.3089	0.96722	0.090866
0.118	13.825	-17805	3378.3	-0.31134	0.96575	0.088133
0.12	13.822	-17802	3377.1	-0.31378	0.96429	0.0854
0.122	13.823	-17804	3375.7	-0.3133	0.96243	0.086083
0.124	13.821	-17806	3374.3	-0.31281	0.96058	0.086766
0.126	13.824	-17801	3372.9	-0.31232	0.95872	0.08745
0.128	13.82	-17796	3371.6	-0.31183	0.95687	0.088133
0.13	13.832	-17793	3370.2	-0.31134	0.95502	0.088816
0.132	13.851	-17790	3369	-0.31115	0.95511	0.088328
0.134	13.855	-17793	3367.7	-0.31095	0.95521	0.08784
0.136	13.841	-17797	3366.3	-0.31076	0.95531	0.087352
0.138	13.825	-17791	3364.8	-0.31056	0.95541	0.086864
0.14	13.814	-17784	3363.3	-0.31037	0.9555	0.086376
0.142	13.815	-17787	3361.6	-0.30949	0.95453	0.086474
0.144	13.827	-17789	3359.9	-0.30861	0.95355	0.086571
0.146	13.845	-17783	3358.1	-0.30773	0.95258	0.086669
0.148	13.855	-17778	3356.3	-0.30685	0.9516	0.086766
0.15	13.848	-17789	3354.4	-0.30598	0.95062	0.086864
0.152	13.833	-17800	3352.5	-0.30578	0.95004	0.08784
0.154	13.831	-17797	3350.7	-0.30559	0.94945	0.088816
0.156	13.844	-17794	3348.9	-0.30539	0.94887	0.089792
0.158	13.846	-17793	3347.3	-0.3052	0.94828	0.090768
0.16	13.834	-17791	3345.6	-0.305	0.9477	0.091744
0.162	13.83	-17789	3344.1	-0.30461	0.94828	0.090963
0.164	13.836	-17788	3342.5	-0.30422	0.94887	0.090182
0.166	13.837	-17787	3341	-0.30383	0.94945	0.089402
0.168	13.841	-17786	3339.5	-0.30344	0.95004	0.088621
0.17	13.851	-17790	3337.9	-0.30305	0.95062	0.08784
0.172	13.851	-17794	3336.5	-0.30324	0.95053	0.088523
0.174	13.84	-17795	3335.1	-0.30344	0.95043	0.089206
0.176	13.836	-17795	3333.8	-0.30363	0.95033	0.08989
0.178	13.837	-17792	3332.5	-0.30383	0.95023	0.090573
0.18	13.841	-17789	3331.3	-0.30402	0.95014	0.091256
0.182	13.844	-17787	3330.2	-0.30383	0.94877	0.091256
0.184	13.851	-17785	3329	-0.30363	0.9474	0.091256
0.186	13.857	-17786	3327.9	-0.30344	0.94604	0.091256
0.188	13.848	-17787	3326.8	-0.30324	0.94467	0.091256
0.19	13.837	-17790	3325.8	-0.30305	0.9433	0.091256
0.192	13.83	-17794	3324.9	-0.3011	0.94155	0.091939
0.194	13.835	-17786	3324	-0.29914	0.93979	0.092622
0.196	13.826	-17778	3323.2	-0.29719	0.93803	0.093306
0.198	13.834	-17779	3322.4	-0.29524	0.93628	0.093989
0.2	13.837	-17781	3321.7	-0.29329	0.93452	0.094672
0.202	13.833	-17787	3321	-0.29534	0.93472	0.093696
0.204	13.824	-17792	3320.4	-0.29739	0.93491	0.09272
0.206	13.81	-17789	3319.8	-0.29944	0.93511	0.091744
0.208	13.8	-17785	3319.2	-0.30149	0.9353	0.090768
0.21	13.803	-17788	3318.7	-0.30354	0.9355	0.089792
0.212	13.825	-17791	3318.2	-0.30168	0.93559	0.091061
0.214	13.836	-17798	3317.6	-0.29983	0.93569	0.09233
0.216	13.82	-17805	3317.2	-0.29797	0.93579	0.093598
0.218	13.808	-17806	3316.7	-0.29612	0.93589	0.094867
0.22	13.809	-17808	3316.3	-0.29426	0.93598	0.096136
0.222	13.804	-17801	3315.9	-0.29475	0.93647	0.095746
0.224	13.796	-17795	3315.5	-0.29524	0.93696	0.095355
0.226	13.771	-17803	3315.1	-0.29573	0.93745	0.094965
0.228	13.748	-17811	3314.8	-0.29622	0.93794	0.094574
0.23	13.739	-17811	3314.4	-0.2967	0.93842	0.094184
0.232	13.747	-17811	3314.2	-0.29631	0.93755	0.094282
0.234	13.754	-17813	3314	-0.29592	0.93667	0.094379
0.236	13.751	-17815	3313.8	-0.29553	0.93579	0.094477
0.238	13.747	-17814	3313.7	-0.29514	0.93491	0.094574
0.24	13.743	-17814	3313.5	-0.29475	0.93403	0.094672
0.242	13.743	-17810	3313.4	-0.29397	0.93481	0.095355
0.244	13.749	-17805	3313.4	-0.29319	0.93559	0.096038
0.246	13.755	-17805	3313.3	-0.29241	0.93637	0.096722
0.248	13.758	-17805	3313.3	-0.29163	0.93716	0.097405
0.25	13.758	-17800	3313.2	-0.29085	0.93794	0.098088
0.252	13.765	-17794	3313.1	-0.29163	0.93842	0.098186
0.254	13.765	-17798	3313.1	-0.29241	0.93891	0.098283
0.256	13.759	-17803	3313	-0.29319	0.9394	0.098381
0.258	13.757	-17798	3313	-0.29397	0.93989	0.098478
0.26	13.761	-17793	3312.9	-0.29475	0.94038	0.098576
0.262	13.764	-17793	3312.9	-0.29348	0.94106	0.098869
0.264	13.76	-17792	3312.8	-0.29221	0.94174	0.099162
0.266	13.77	-17791	3312.8	-0.29095	0.94243	0.099454
0.268	13.783	-17789	3312.7	-0.28968	0.94311	0.099747
0.27	13.801	-17791	3312.6	-0.28841	0.94379	0.10004
0.272	13.814	-17793	3312.5	-0.2887	0.9436	0.099454
0.274	13.802	-17788	3312.4	-0.28899	0.9434	0.098869
0.276	13.835	-17782	3312.4	-0.28929	0.94321	0.098283
0.278	13.872	-17787	3312.4	-0.28958	0.94301	0.097698
0.28	13.882	-17792	3312.4	-0.28987	0.94282	0.097112
0.282	13.888	-17790	3312.4	-0.28997	0.94252	0.097014
0.284	13.897	-17788	3312.3	-0.29007	0.94223	0.096917
0.286	13.911	-17790	3312.2	-0.29016	0.94194	0.096819
0.288	13.907	-17792	3312.2	-0.29026	0.94164	0.096722
0.29	13.893	-17791	3312.1	-0.29036	0.94135	0.096624
0.292	13.883	-17791	3312	-0.29056	0.94106	0.097112
0.294	13.889	-17791	3311.8	-0.29075	0.94077	0.0976
0.296	13.89	-17791	3311.7	-0.29095	0.94047	0.098088
0.298	13.888	-17786	3311.6	-0.29114	0.94018	0.098576
0.3	13.885	-17780	3311.4	-0.29134	0.93989	0.099064
0.302	13.9	-17784	3311.2	-0.29251	0.94028	0.099845
0.304	13.899	-17788	3311	-0.29368	0.94067	0.10063
0.306	13.883	-17793	3310.7	-0.29485	0.94106	0.10141
0.308	13.882	-17798	3310.3	-0.29602	0.94145	0.10219
0.31	13.888	-17796	3310	-0.29719	0.94184	0.10297
0.312	13.893	-17794	3309.9	-0.29651	0.94125	0.10316
0.314	13.908	-17796	3309.7	-0.29583	0.94067	0.10336
0.316	13.919	-17798	3309.5	-0.29514	0.94008	0.10355
0.318	13.918	-17797	3309.2	-0.29446	0.9395	0.10375
0.32	13.916	-17795	3308.9	-0.29378	0.93891	0.10394
0.322	13.92	-17796	3308.7	-0.29465	0.9395	0.10443
0.324	13.921	-17797	3308.5	-0.29553	0.94008	0.10492
0.326	13.915	-17798	3308.2	-0.29641	0.94067	0.10541
0.328	13.913	-17799	3307.9	-0.29729	0.94125	0.1059
0.33	13.918	-17795	3307.6	-0.29817	0.94184	0.10638
0.332	13.92	-17791	3307.4	-0.29719	0.94116	0.10599
0.334	13.917	-17791	3307.2	-0.29622	0.94047	0.1056
0.336	13.91	-17791	3306.9	-0.29524	0.93979	0.10521
0.338	13.901	-17792	3306.7	-0.29426	0.93911	0.10482
0.34	13.9	-17793	3306.4	-0.29329	0.93842	0.10443
