t	ekg	optical	pressure	accel_x	accel_y	accel_z
0	13.64	-42657	2317	-0.95668	0.16612	0.27767
0.002	13.645	-42654	2317	-0.95658	0.16602	0.27718
0.004	13.652	-42651	2317	-0.95648	0.16592	0.2767
0.006	13.652	-42648	2317.1	-0.95638	0.16582	0.27621
0.008	13.648	-42643	2317.1	-0.95628	0.16572	0.27572
0.01	13.65	-42637	2317.1	-0.95619	0.16563	0.27523
0.012	13.651	-42630	2317.1	-0.95609	0.16553	0.27474
0.014	13.638	-42623	2317.1	-0.95599	0.16543	0.27426
0.016	13.639	-42621	2317	-0.95619	0.16641	0.27455
0.018	13.66	-42619	2317	-0.95638	0.16738	0.27484
0.02	13.674	-42618	2316.9	-0.95658	0.16836	0.27513
0.022	13.676	-42618	2316.8	-0.95677	0.16934	0.27543
0.024	13.669	-42616	2316.8	-0.95697	0.17031	0.27572
0.026	13.664	-42614	2316.6	-0.95697	0.16982	0.27601
0.028	13.655	-42610	2316.5	-0.95697	0.16934	0.27631
0.03	13.641	-42606	2316.4	-0.95697	0.16885	0.2766
0.032	13.633	-42604	2316.3	-0.95697	0.16836	0.27689
0.034	13.632	-42602	2316.2	-0.95697	0.16787	0.27718
0.036	13.644	-42601	2316.1	-0.95677	0.16807	0.27806
0.038	13.675	-42600	2315.9	-0.95658	0.16826	0.27894
0.04	13.677	-42596	2315.8	-0.95638	0.16846	0.27982
0.042	13.674	-42592	2315.6	-0.95619	0.16865	0.2807
0.044	13.67	-42589	2315.4	-0.95599	0.16885	0.28158
0.046	13.654	-42586	2315.2	-0.95336	0.16846	0.28148
0.048	13.644	-42584	2315	-0.95072	0.16807	0.28138
0.05	13.649	-42582	2314.8	-0.94809	0.16768	0.28128
0.052	13.662	-42579	2314.6	-0.94545	0.16729	0.28119
0.054	13.674	-42576	2314.5	-0.94282	0.1669	0.28109
0.056	13.686	-42574	2314.3	-0.94262	0.16738	0.28177
0.058	13.686	-42572	2314.1	-0.94243	0.16787	0.28245
0.06	13.681	-42568	2313.9	-0.94223	0.16836	0.28314
0.062	13.671	-42564	2313.7	-0.94204	0.16885	0.28382
0.064	13.66	-42561	2313.4	-0.94184	0.16934	0.2845
0.066	13.66	-42559	2313.3	-0.94223	0.16846	0.28431
0.068	13.666	-42557	2313.1	-0.94262	0.16758	0.28411
0.07	13.684	-42556	2312.9	-0.94301	0.1667	0.28392
0.072	13.698	-42556	2312.7	-0.9434	0.16582	0.28372
0.074	13.692	-42556	2312.4	-0.94379	0.16494	0.28353
0.076	13.681	-42551	2312.3	-0.9434	0.16553	0.28343
0.078	13.678	-42546	2312.1	-0.94301	0.16612	0.28333
0.08	13.668	-42542	2312	-0.94262	0.1667	0.28324
0.082	13.661	-42537	2311.9	-0.94223	0.16729	0.28314
0.084	13.657	-42542	2311.8	-0.94184	0.16787	0.28304
0.086	13.652	-42547	2311.6	-0.94213	0.16865	0.28304
0.088	13.664	-42543	2311.4	-0.94243	0.16943	0.28304
0.09	13.692	-42539	2311.2	-0.94272	0.17021	0.28304
0.092	13.708	-42535	2311.1	-0.94301	0.171	0.28304
0.094	13.699	-42530	2310.9	-0.9433	0.17178	0.28304
0.096	13.682	-42532	2310.8	-0.94282	0.17187	0.28363
0.098	13.673	-42533	2310.7	-0.94233	0.17197	0.28421
0.1	13.674	-42529	2310.5	-0.94184	0.17207	0.2848
0.102	13.685	-42525	2310.4	-0.94135	0.17217	0.28538
0.104	13.703	-42527	2310.2	-0.94086	0.17226	0.28597
0.106	13.717	-42528	2310.1	-0.94164	0.17119	0.28489
0.108	13.716	-42527	2309.9	-0.94243	0.17012	0.28382
0.11	13.714	-42526	2309.7	-0.94321	0.16904	0.28275
0.112	13.706	-42523	2309.6	-0.94399	0.16797	0.28167
0.114	13.693	-42520	2309.4	-0.94477	0.1669	0.2806
0.116	13.692	-42518	2309.3	-0.94565	0.16572	0.2808
0.118	13.691	-42516	2309.1	-0.94652	0.16455	0.28099
0.12	13.691	-42513	2309	-0.9474	0.16338	0.28119
0.122	13.705	-42509	2308.8	-0.94828	0.16221	0.28138
0.124	13.708	-42511	2308.6	-0.94916	0.16104	0.28158
0.126	13.711	-42512	2308.4	-0.94926	0.16163	0.28119
0.128	13.709	-42515	2308.2	-0.94936	0.16221	0.2808
0.13	13.694	-42518	2308	-0.94945	0.1628	0.2804
0.132	13.688	-42512	2307.8	-0.94955	0.16338	0.28001
0.134	13.686	-42505	2307.6	-0.94965	0.16397	0.27962
0.136	13.702	-42507	2307.5	-0.94926	0.16348	0.2804
0.138	13.727	-42508	2307.4	-0.94887	0.16299	0.28119
0.14	13.732	-42511	2307.3	-0.94848	0.1625	0.28197
0.142	13.732	-42513	2307.2	-0.94809	0.16202	0.28275
0.144	13.728	-42513	2307.1	-0.9477	0.16153	0.28353
0.146	13.718	-42513	2307	-0.94867	0.16241	0.28226
0.148	13.716	-42509	2306.9	-0.94965	0.16328	0.28099
0.15	13.718	-42506	2306.8	-0.95062	0.16416	0.27972
0.152	13.72	-42508	2306.8	-0.9516	0.16504	0.27845
0.154	13.735	-42510	2306.7	-0.95258	0.16592	0.27718
0.156	13.736	-42507	2306.6	-0.95297	0.16602	0.27728
0.158	13.726	-42504	2306.5	-0.95336	0.16612	0.27738
0.16	13.723	-42499	2306.4	-0.95375	0.16621	0.27748
0.162	13.713	-42493	2306.4	-0.95414	0.16631	0.27757
0.164	13.7	-42497	2306.3	-0.95453	0.16641	0.27767
0.166	13.701	-42501	2306.3	-0.95433	0.16651	0.27748
0.168	13.716	-42503	2306.2	-0.95414	0.1666	0.27728
0.17	13.737	-42506	2306.2	-0.95394	0.1667	0.27709
0.172	13.755	-42507	2306.1	-0.95375	0.1668	0.27689
0.174	13.755	-42508	2306.1	-0.95355	0.1669	0.2767
