t	ekg	optical	pressure	accel_x	accel_y	accel_z
0	0.037252	-0.17965	-0.65561	-0.0037936	0.0066502	-0.0045249
0.002	0.036351	-0.037034	-0.65145	-0.0038783	0.0055396	-0.0048857
0.004	0.032812	0.10559	-0.64729	-0.0039629	0.004429	-0.0052464
0.006	0.028119	0.22804	-0.64313	-0.0040475	0.0033184	-0.0056072
0.008	0.023639	0.33032	-0.63936	-0.0041322	0.0022077	-0.005968
0.01	0.020399	0.41096	-0.63599	-0.0042168	0.0010971	-0.0063288
0.012	0.01908	0.46993	-0.63262	-0.0043014	-1.3497e-05	-0.0066895
0.014	0.019779	0.5071	-0.63077	-0.0045187	-0.00111	-0.0068034
0.016	0.021869	0.52245	-0.62893	-0.0047361	-0.0022066	-0.0069173
0.018	0.024414	0.51714	-0.62764	-0.0049534	-0.0033031	-0.0070311
0.02	0.026515	0.49118	-0.6269	-0.0051708	-0.0043996	-0.007145
0.022	0.027415	0.44696	-0.62617	-0.0053881	-0.0054961	-0.0072589
0.024	0.026652	0.38448	-0.62534	-0.0054351	-0.0067539	-0.0073679
0.026	0.024155	0.30719	-0.6245	-0.005482	-0.0080116	-0.007477
0.028	0.020472	0.21511	-0.62296	-0.0055289	-0.0092694	-0.007586
0.03	0.016662	0.11254	-0.62071	-0.0055759	-0.010527	-0.0076951
0.032	0.013701	-0.00051607	-0.61847	-0.0056228	-0.011785	-0.0078042
0.034	0.012406	-0.11916	-0.61408	-0.005418	-0.013031	-0.0080282
0.036	0.013495	-0.2434	-0.6097	-0.0052133	-0.014278	-0.0082522
0.038	0.017211	-0.36806	-0.60438	-0.0050085	-0.015524	-0.0084762
0.04	0.023124	-0.49312	-0.59812	-0.0048037	-0.016771	-0.0087003
0.042	0.030179	-0.61347	-0.59186	-0.004599	-0.018017	-0.0089243
0.044	0.037057	-0.72909	-0.58488	-0.0043314	-0.019034	-0.0090956
0.046	0.042556	-0.83518	-0.57789	-0.0040639	-0.020051	-0.009267
0.048	0.045469	-0.93175	-0.57129	-0.0037963	-0.021068	-0.0094383
0.05	0.044828	-1.0146	-0.56506	-0.0035287	-0.022085	-0.0096097
0.052	0.040455	-1.0838	-0.55884	-0.0032612	-0.023102	-0.009781
0.054	0.032901	-1.1361	-0.55456	-0.0031132	-0.023879	-0.0096648
0.056	0.023266	-1.1713	-0.55028	-0.0029652	-0.024656	-0.0095486
0.058	0.01299	-1.1874	-0.54714	-0.0028173	-0.025432	-0.0094324
0.06	0.0036502	-1.1842	-0.54513	-0.0026693	-0.026209	-0.0093162
0.062	-0.003093	-1.1609	-0.54313	-0.0025213	-0.026985	-0.0092
0.064	-0.0060065	-1.1173	-0.5428	-0.002485	-0.027627	-0.0087762
0.066	-0.0046526	-1.0538	-0.54246	-0.0024487	-0.028268	-0.0083525
0.068	0.00080479	-0.97023	-0.54235	-0.0024124	-0.028909	-0.0079288
0.07	0.0096318	-0.86814	-0.54245	-0.0023761	-0.029551	-0.007505
0.072	0.020566	-0.74752	-0.54255	-0.0023398	-0.030192	-0.0070813
0.074	0.032013	-0.61092	-0.54185	-0.0023128	-0.030721	-0.006521
0.076	0.042321	-0.45837	-0.54114	-0.0022858	-0.031251	-0.0059607
0.078	0.050264	-0.2934	-0.53968	-0.0022588	-0.03178	-0.0054004
0.08	0.055196	-0.11601	-0.53748	-0.0022318	-0.03231	-0.0048401
0.082	0.056877	0.069498	-0.53527	-0.0022048	-0.032839	-0.0042798
0.084	0.055603	0.26312	-0.53178	-0.0021287	-0.0332	-0.0037254
0.086	0.052255	0.46008	-0.52829	-0.0020526	-0.033561	-0.0031709
0.088	0.047962	0.66037	-0.52468	-0.0019765	-0.033921	-0.0026165
0.09	0.043732	0.859	-0.52093	-0.0019004	-0.034282	-0.0020621
0.092	0.040197	1.056	-0.51718	-0.0018243	-0.034643	-0.0015077
0.094	0.0376	1.2464	-0.51458	-0.0016834	-0.034833	-0.00097455
0.096	0.03586	1.4303	-0.51198	-0.0015425	-0.035023	-0.00044142
0.098	0.034363	1.6031	-0.51058	-0.0014016	-0.035213	9.1702e-05
0.1	0.032078	1.7649	-0.51036	-0.0012607	-0.035403	0.00062483
0.102	0.028086	1.9118	-0.51014	-0.0011198	-0.035593	0.0011579
