t	ekg	optical	pressure	accel_x	accel_y	accel_z
0	0.082603	63.58	13.889	-0.0060358	-0.0041571	-0.008015
0.002	0.083089	64.039	13.722	-0.0058529	-0.0040633	-0.0079924
0.004	0.083954	64.498	13.554	-0.00567	-0.0039695	-0.0079699
0.006	0.085028	64.957	13.371	-0.0054871	-0.0038757	-0.0079473
0.008	0.086066	65.342	13.172	-0.0053042	-0.0037819	-0.0079247
0.01	0.086811	65.652	12.973	-0.0051213	-0.0036881	-0.0079022
0.012	0.08706	65.889	12.748	-0.0051212	-0.003696	-0.0076728
0.014	0.086715	66.054	12.522	-0.0051212	-0.0037038	-0.0074434
0.016	0.085811	66.148	12.288	-0.0051211	-0.0037117	-0.007214
0.018	0.084506	66.172	12.045	-0.005121	-0.0037195	-0.0069847
0.02	0.08305	66.129	11.802	-0.0051209	-0.0037274	-0.0067553
0.022	0.081715	66.02	11.551	-0.0051454	-0.0037855	-0.0064822
0.024	0.08073	65.848	11.3	-0.0051698	-0.0038435	-0.0062091
0.026	0.080223	65.613	11.049	-0.0051943	-0.0039016	-0.005936
0.028	0.080182	65.321	10.798	-0.0052188	-0.0039597	-0.0056629
0.03	0.080459	64.971	10.547	-0.0052433	-0.0040178	-0.0053899
0.032	0.080802	64.57	10.299	-0.0050302	-0.0040523	-0.0052446
0.034	0.080921	64.116	10.051	-0.0048172	-0.0040868	-0.0050994
0.036	0.080562	63.616	9.8035	-0.0046042	-0.0041213	-0.0049542
0.038	0.079575	63.07	9.5571	-0.0043911	-0.0041558	-0.004809
0.04	0.077964	62.483	9.3107	-0.0041781	-0.0041903	-0.0046637
0.042	0.075889	61.856	9.0614	-0.0037113	-0.0041403	-0.0045673
0.044	0.073635	61.195	8.8121	-0.0032445	-0.0040902	-0.0044708
0.046	0.071547	60.499	8.5594	-0.0027777	-0.0040401	-0.0043743
0.048	0.06994	59.775	8.3034	-0.0023109	-0.0039901	-0.0042779
0.05	0.069018	59.023	8.0474	-0.0018441	-0.00394	-0.0041814
0.052	0.068813	58.248	7.7846	-0.0013843	-0.003742	-0.0039295
0.054	0.06916	57.449	7.5218	-0.00092461	-0.0035439	-0.0036776
0.056	0.069729	56.633	7.2584	-0.00046489	-0.0033459	-0.0034257
0.058	0.07009	55.798	6.9945	-5.1684e-06	-0.0031479	-0.0031738
0.06	0.069815	54.95	6.7306	0.00045455	-0.0029499	-0.002922
0.062	0.06858	54.089	6.4764	0.00065324	-0.0025796	-0.0024674
0.064	0.066253	53.217	6.2223	0.00085192	-0.0022093	-0.0020128
0.066	0.062944	52.336	5.9798	0.0010506	-0.001839	-0.0015583
0.068	0.058993	51.449	5.749	0.0012493	-0.0014687	-0.0011037
0.07	0.054912	50.555	5.5182	0.001448	-0.0010984	-0.00064916
0.072	0.051279	49.657	5.3235	0.0013692	-0.00064748	-0.00014755
0.074	0.048614	48.755	5.1288	0.0012904	-0.00019652	0.00035406
0.076	0.04726	47.85	4.9563	0.0012116	0.00025444	0.00085567
0.078	0.047297	46.944	4.8061	0.0011328	0.0007054	0.0013573
0.08	0.048514	46.037	4.6558	0.001054	0.0011564	0.0018589
0.082	0.050442	45.13	4.5522	0.00086972	0.0014821	0.0022306
0.084	0.052438	44.223	4.4485	0.0006854	0.0018079	0.0026024
0.086	0.053821	43.316	4.3662	0.00050108	0.0021337	0.0029742
0.088	0.054005	42.41	4.3052	0.00031677	0.0024594	0.0033459
0.09	0.052624	41.505	4.2442	0.00013245	0.0027852	0.0037177
0.092	0.04961	40.602	4.2179	1.5245e-05	0.0028188	0.0039047
0.094	0.045205	39.7	4.1915	-0.00010196	0.0028524	0.0040918
0.096	0.039918	38.799	4.1777	-0.00021916	0.0028859	0.0042788
0.098	0.034422	37.901	4.1764	-0.00033636	0.0029195	0.0044659
0.1	0.029424	37.004	4.1752	-0.00045357	0.0029531	0.0046529
0.102	0.025536	36.11	4.1905	-0.00045025	0.002755	0.0047324
0.104	0.023163	35.219	4.2058	-0.00044694	0.0025569	0.004812
0.106	0.022445	34.33	4.2262	-0.00044363	0.0023589	0.0048915
0.108	0.023257	33.444	4.2516	-0.00044032	0.0021608	0.004971
0.11	0.025249	32.562	4.277	-0.00043701	0.0019628	0.0050505
0.112	0.027946	31.685	4.3076	-0.00040134	0.0017916	0.0051678
0.114	0.030843	30.811	4.3382	-0.00036567	0.0016205	0.005285
0.116	0.033506	29.944	4.3691	-0.00033	0.0014494	0.0054022
0.118	0.035641	29.082	4.4004	-0.00029433	0.0012783	0.0055194
0.12	0.037122	28.227	4.4316	-0.00025866	0.0011072	0.0056366
0.122	0.037983	27.379	4.4581	-0.00035454	0.0011437	0.0058751
0.124	0.038366	26.54	4.4845	-0.00045043	0.0011803	0.0061135
0.126	0.038469	25.711	4.5053	-0.00054631	0.0012168	0.006352
0.128	0.038487	24.892	4.5203	-0.0006422	0.0012533	0.0065905
0.13	0.038567	24.084	4.5352	-0.00073808	0.0012898	0.006829
0.132	0.038801	23.29	4.5319	-0.0010626	0.0014339	0.0070803
0.134	0.039229	22.509	4.5285	-0.0013872	0.001578	0.0073317
0.136	0.039876	21.744	4.5134	-0.0017117	0.0017222	0.007583
0.138	0.040778	20.994	4.4866	-0.0020362	0.0018663	0.0078344
0.14	0.042007	20.261	4.4599	-0.0023608	0.0020104	0.0080857
0.142	0.043666	19.547	4.4088	-0.0028435	0.0020073	0.0081124
0.144	0.045869	18.853	4.3577	-0.0033263	0.0020041	0.0081392
0.146	0.048695	18.178	4.2967	-0.0038091	0.002001	0.0081659
0.148	0.052136	17.526	4.2259	-0.0042918	0.0019979	0.0081926
0.15	0.056062	16.895	4.1551	-0.0047746	0.0019948	0.0082193
0.152	0.060201	16.288	4.0744	-0.0052113	0.0017521	0.0079261
0.154	0.064168	15.705	3.9937	-0.005648	0.0015095	0.0076328
0.156	0.067523	15.147	3.9147	-0.0060848	0.0012668	0.0073396
0.158	0.069858	14.614	3.8373	-0.0065215	0.0010242	0.0070464
0.16	0.070884	14.107	3.7599	-0.0069582	0.00078152	0.0067532
0.162	0.070513	13.625	3.699	-0.0071203	0.00052336	0.0063513
0.164	0.068892	13.171	3.6382	-0.0072824	0.00026521	0.0059494
0.166	0.066393	12.743	3.5906	-0.0074444	7.0609e-06	0.0055476
0.168	0.063537	12.341	3.5562	-0.0076065	-0.00025109	0.0051457
0.17	0.060895	11.967	3.5219	-0.0077685	-0.00050924	0.0047438
0.172	0.058948	11.618	3.5184	-0.0075256	-0.00044689	0.0045731
0.174	0.05798	11.296	3.515	-0.0072826	-0.00038453	0.0044025
0.176	0.057992	10.998	3.5259	-0.0070397	-0.00032218	0.0042318
0.178	0.058696	10.726	3.5513	-0.0067968	-0.00025982	0.0040612
0.18	0.059561	10.478	3.5766	-0.0065538	-0.00019747	0.0038905
0.182	0.059925	10.254	3.6233	-0.0059907	0.00025754	0.0040987
0.184	0.059149	10.051	3.67	-0.0054276	0.00071255	0.004307
0.186	0.056759	9.8705	3.7218	-0.0048645	0.0011676	0.0045152
0.188	0.052568	9.7095	3.7789	-0.0043015	0.0016226	0.0047235
0.19	0.046727	9.5681	3.8359	-0.0037384	0.0020776	0.0049317
0.192	0.039705	9.4435	3.8911	-0.0031447	0.0026105	0.0053588
0.194	0.032193	9.3358	3.9464	-0.002551	0.0031434	0.0057858
0.196	0.024963	9.2417	3.9951	-0.0019573	0.0036763	0.0062129
0.198	0.018703	9.1614	4.0373	-0.0013636	0.0042092	0.0066399
0.2	0.013875	9.0912	4.0794	-0.00076993	0.0047421	0.007067
0.202	0.010629	9.0313	4.0989	-0.00041685	0.0049689	0.0073953
0.204	0.0087861	8.9778	4.1185	-6.3775e-05	0.0051956	0.0077237
0.206	0.0078995	8.9307	4.1229	0.0002893	0.0054224	0.008052
0.208	0.0073666	8.886	4.1122	0.00064238	0.0056491	0.0083803
0.21	0.0065665	8.8436	4.1016	0.00099545	0.0058759	0.0087086
0.212	0.0049809	8.7994	4.0553	0.0010694	0.005759	0.0087071
0.214	0.0022644	8.7534	4.009	0.0011434	0.0056421	0.0087055
0.216	-0.0017561	8.701	3.9433	0.0012173	0.0055252	0.008704
0.218	-0.007154	8.6424	3.8581	0.0012913	0.0054083	0.0087024
0.22	-0.014024	8.5731	3.7729	0.0013653	0.0052914	0.0087008
0.222	-0.022614	8.4931	3.6486	0.001299	0.0051483	0.008388
0.224	-0.033419	8.398	3.5242	0.0012328	0.0050053	0.0080752
0.226	-0.047202	8.2877	3.3819	0.0011665	0.0048622	0.0077624
0.228	-0.064909	8.1581	3.2217	0.0011003	0.0047191	0.0074496
0.23	-0.087477	8.0089	3.0615	0.0010341	0.004576	0.0071368
0.232	-0.11557	7.8363	2.8733	0.00095733	0.0046573	0.0067329
0.234	-0.14929	7.6402	2.6851	0.00088059	0.0047386	0.006329
0.236	-0.18795	7.4168	2.4889	0.00080384	0.00482	0.0059251
0.238	-0.22989	7.1662	2.2847	0.0007271	0.0049013	0.0055211
0.24	-0.27258	6.8852	2.0804	0.00065036	0.0049826	0.0051172
0.242	-0.31273	6.5737	1.8749	0.00064699	0.00514	0.0047954
0.244	-0.34678	6.2292	1.6693	0.00064361	0.0052974	0.0044736
0.246	-0.37125	5.8515	1.4707	0.00064024	0.0054548	0.0041518
0.248	-0.3834	5.4389	1.2789	0.00063686	0.0056122	0.0038299
0.25	-0.38157	4.9914	1.0872	0.00063349	0.0057696	0.0035081
0.252	-0.36557	4.5079	0.92192	0.00080156	0.0056235	0.0032213
0.254	-0.33671	3.9884	0.75669	0.00096962	0.0054775	0.0029345
0.256	-0.29774	3.4329	0.60866	0.0011377	0.0053314	0.0026477
0.258	-0.2524	2.8414	0.47784	0.0013057	0.0051853	0.002361
0.26	-0.20496	2.2148	0.34703	0.0014738	0.0050392	0.0020742
0.262	-0.15958	1.5532	0.25257	0.0018729	0.0044483	0.001712
